OBJECTID,CNTRY_NAME,_mean,Y1993_mean,Y1994_mean,Y1995_mean,Y1996_mean,Y1997_mean,Y1998_mean,Y1999_mean,Y2000_mean,Y2001_mean,Y2002_mean,Y2003_mean,Y2004_mean,Y2005_mean,Y2006_mean,Y2007_mean,Y2008_mean,Y2009_mean,Y2010_mean,Y2011_mean,Y2012_mean,Y2013_mean,Y2014_mean,Y2015_mean,Y2016_mean,Y2017_mean,Y2018_mean
"45",Cocos (Keeling) Islands,0.000000000000000,0.952380952380952,0.666666666666667,0.952380952380952,0,0.095238095238095,0.571428571428571,0,0,1.33333333333333,0,0,0.619047619047619,0.761904761904762,0.571428571428571,0,0.428571428571429,0,0.142857142857143,1.52380952380952,0,0.761904761904762,5.71428571428571,4.85714285714286,5.42857142857143,6.14285714285714,6.42857142857143
"46",Cameroon,0.064861908968373,0.069838343602602,0.059850725249965,0.076497365470750,0.083161874036399,0.079734516996874,0.084619506672739,0.086486812722554,0.098449642175878,0.10593898426598,0.106127360880213,0.094546771352855,0.115279172313393,0.098778844025992,0.089433169281078,0.097632124248094,0.101052165690949,0.107747285103457,0.118469709106471,0.122754655284035,0.148493810090768,0.13447346907423,1.45139609017936,1.49323032973223,1.60154322511737,2.55015481631451,2.51007266216392
"47",Comoros,0.321934538348803,0.480703468490474,0.337567171470445,0.678065461651197,0.647777234978017,0.448461162677088,0.833414753297509,0.640449438202247,1.11284807034685,0.834391792867611,0.731802638006839,0.334636052760137,1.22423058133854,0.930141670737665,0.545188080117245,0.481680508060576,0.443087445041524,0.558637469586375,1.34501216545012,0.817031630170316,0.963849535906204,0.722032242305813,1.37420615534929,1.7723497801661,1.68246213971666,4.61504640937958,5.35466536394724
"48",Colombia,0.566046100953391,0.756770097619635,0.760749750005814,0.941791301177542,0.878831024934904,1.03911912026052,1.08377599620714,1.03835094607702,1.09787094223615,1.07401328251181,1.08814273636547,0.96919201428924,1.19539830656601,1.04342959766127,0.980952430963721,1.05914341076839,1.06267596177433,1.08425729436007,1.14423243536399,1.14673108702224,1.31831667830681,1.27185939411762,2.38021921470694,2.3759867549967,2.30620218134462,2.77194303808389,3.49652108615629
"49",Northern Mariana Islands,17.422145328719722,20.733564013840830,17.937716262975780,21.141868512110726,21.8304498269896,22.9723183391003,23.0968858131488,22.8823529411765,21.7889273356401,22.9550173010381,24.7266435986159,23.9792387543253,25.2525951557093,23.401384083045,20.4567474048443,18.878892733564,16.1384083044983,15.8661971830986,16.2147887323944,16.0669014084507,15.8650519031142,15.8235294117647,14.9723183391003,14.8996539792388,17.7750865051903,19.5916955017301,20.0865051903114
"50",Costa Rica,1.560921701552114,2.333283850429677,2.645735398419846,2.902419713988817,3.31248453659261,3.13807379550365,3.29757368829069,3.65696801754994,4.05584970392729,4.16273277582595,4.19090504230788,3.6325399574447,4.66508321374965,4.00371121777426,3.78460092038201,4.4059742359015,4.34098668909892,4.48788013794697,4.71039387489068,4.60698315264921,5.21398056971316,5.50249888663467,7.3329539644053,7.46459498243357,7.04770151912514,8.04720669008857,8.51072954294291
"51",Central African Republic,0.007803622110354,0.005902810182313,0.005832816385685,0.007588151010930,0.007014476364056,0.006871743916029,0.007776173562657,0.008384158894153,0.008352593064301,0.007368562629351,0.007706179766029,0.006185530223596,0.00836357248338,0.006722149331079,0.00613886769251,0.006687838646457,0.005552841199172,0.005794292991952,0.007430199492759,0.008175415289687,0.007166815803776,0.006540988916276,2.50512601628248,2.82117820146136,3.49580174462969,4.05657008437684,4.06525343244089
"52",Cuba,0.697701040474229,1.152921275401206,1.156413827297319,1.501316086883608,1.44799451691226,1.3631816491553,1.72486128225507,1.86742885474921,1.98700683198565,1.88277712560792,1.71260453958833,1.45979919649432,3.14707362066074,2.29222232754158,1.78384093212491,2.19092373987415,2.11741244923404,2.2220116479944,2.78798171891742,2.94598042145622,2.86585392529293,2.70798182998053,5.57045986481856,5.95324792743658,5.55247942019264,6.89483700209261,6.8727952810447
"53",Cape Verde,0.578131374949000,0.716850265197878,0.757037943696450,1.118931048551612,1.24520603835169,1.16891064871481,1.50571195430437,1.78294573643411,1.97307221542228,1.96593227254182,1.93512851897185,2.00652794777642,2.48837209302326,2.38718890248878,2.14871481028152,2.44573643410853,2.31640146878825,2.20057131197715,2.70903897163844,2.85696796572128,2.91534067727458,2.93533251733986,5.72460220318237,5.31313749490004,5.17747858017136,7.29416564667483,7.3500611995104
"54",Cook Islands,2.565445026178010,2.973821989528796,2.722513089005236,3.418848167539267,3.12041884816754,2.96335078534031,3.35602094240838,3.16230366492147,3.24083769633508,3.29842931937173,3.73298429319372,3.32984293193717,4.03664921465969,2.93193717277487,3.08900523560209,2.79057591623037,2.59162303664922,3.28191489361702,2.71808510638298,2.6436170212766,2.84816753926702,2.37696335078534,3.01570680628272,3.06806282722513,3.06282722513089,3.34031413612565,4.30366492146597
